Date,Action,Ticker,Shares,Price,Value
2024-11-06,BUY,CPRT,114.0,55.439998626708984,6320.159843444824
2024-11-06,BUY,DASH,37.0,169.63999938964844,6276.679977416992
2024-11-06,BUY,DXCM,92.0,68.61000061035156,6312.120056152344
2024-11-06,BUY,ZTS,37.0,168.13563537597656,6221.018508911133
2024-11-06,BUY,ZBH,58.0,109.13671112060547,6329.929244995117
2024-11-06,BUY,EL,102.0,62.121055603027344,6336.347671508789
2024-11-06,BUY,LMT,11.0,536.722412109375,5903.946533203125
2024-11-06,BUY,UNH,10.0,584.0240478515625,5840.240478515625
2024-11-06,BUY,TTD,50.0,124.80999755859375,6240.4998779296875
2024-11-06,BUY,TKO,53.0,119.16866302490234,6315.939140319824
2024-11-06,BUY,TTWO,38.0,166.6199951171875,6331.559814453125
2024-11-06,BUY,XYZ,48.0,77.63999938964844,3726.719970703125
2024-11-06,BUY,ADI,16.0,222.42372131347656,3558.779541015625
2024-11-06,BUY,ON,52.0,72.2699966430664,3758.039825439453
2024-11-06,BUY,MCHP,52.0,71.64488983154297,3725.5342712402344
2024-11-06,BUY,SMCI,166.0,22.700000762939453,3768.200126647949
2024-11-06,BUY,PTC,19.0,198.0399932861328,3762.7598724365234
2024-11-06,BUY,SNPS,6.0,553.1500244140625,3318.900146484375
2024-11-06,BUY,WDAY,14.0,251.8000030517578,3525.2000427246094
2024-11-13,SELL_STOP,SMCI,166.0,20.329999923706055,3374.779987335205
2024-11-14,SELL_STOP,MCHP,52.0,63.727516174316406,3313.830841064453
2024-11-15,SELL_STOP,ON,52.0,64.76000213623047,3367.5201110839844
2024-12-04,SELL_PROFIT,EL,102.0,78.20794677734375,7977.2105712890625
2024-12-04,SELL_PROFIT,XYZ,48.0,98.91999816894531,4748.159912109375
2024-12-11,SELL_STOP,UNH,10.0,524.2077026367188,5242.0770263671875
2024-12-16,SELL_STOP,LMT,11.0,481.1981506347656,5293.179656982422
2024-12-18,SELL_STOP,SNPS,6.0,494.42999267578125,2966.5799560546875
2025-01-21,SELL_PROFIT,DXCM,92.0,86.31999969482422,7941.439971923828
2025-01-23,SELL_PROFIT,TKO,53.0,150.6409912109375,7983.9725341796875
2025-02-06,SELL_STOP,PTC,19.0,171.61000061035156,3260.5900115966797
2025-02-07,SELL_PROFIT,TTWO,38.0,208.77000427246094,7933.260162353516
2025-02-13,SELL_STOP,TTD,50.0,81.91999816894531,4095.9999084472656
2025-02-14,SELL_PROFIT,DASH,37.0,213.3800048828125,7895.0601806640625
2025-03-28,SELL_STOP,ADI,16.0,199.85604858398438,3197.69677734375
2025-04-04,SELL_STOP,ZTS,37.0,150.1927947998047,5557.133407592773
2025-04-04,SELL_STOP,WDAY,14.0,217.13999938964844,3039.959991455078
2025-04-15,SELL_STOP,ZBH,58.0,96.78148651123047,5613.326217651367
2025-06-13,SELL_STOP,CPRT,114.0,48.59000015258789,5539.2600173950195
