Date,Ticker,Shares,Buy,Sell,PnL
2025-11-07,CPRT,190.0,40.23,40.16,-13.34
2025-11-07,DASH,39.0,196.41,198.08,65.24
2025-11-07,HD,20.0,369.17,371.19,40.3
2025-11-07,LYV,55.0,136.93,139.04,116.16
2025-11-07,SNPS,19.0,393.28,388.3,-94.63
2025-11-07,TKO,42.0,180.29,179.41,-36.95
2025-11-07,ADM,117.0,57.02,56.62,-47.01
2025-11-07,CLX,63.0,106.63,107.72,68.22
2025-11-07,DG,69.0,96.39,97.74,93.01
2025-11-07,KHC,281.0,23.9,24.09,53.67
2025-11-07,SOLV,97.0,68.65,70.19,149.44
2025-11-07,UNH,21.0,319.81,315.57,-89.2
2025-11-07,ZBH,75.0,89.04,88.64,-30.29
2025-11-07,ZTS,56.0,119.62,119.14,-26.85
2025-11-07,TPR,2.0,99.05,102.06,6.02
