Ticker,Direction,Price,StopLoss,TakeProfit,Allocation_%,Sector
ABNB,BUY,118.4749984741211,106.63,148.09,5.88,Consumer Cyclical
CPRT,BUY,40.23550033569336,36.21,50.29,5.88,Industrials
DASH,BUY,197.64500427246094,177.88,247.06,5.88,Consumer Cyclical
DXCM,BUY,54.81999969482422,49.34,68.52,5.88,Healthcare
ZTS,BUY,119.1500015258789,107.24,148.94,5.88,Healthcare
ZBH,BUY,88.7750015258789,79.9,110.97,5.88,Healthcare
EL,BUY,86.19999694824219,77.58,107.75,5.88,Consumer Defensive
LMT,BUY,459.2674865722656,413.34,574.08,5.88,Industrials
UNH,BUY,315.8699951171875,284.28,394.84,5.88,Healthcare
TTD,BUY,42.470001220703125,38.22,53.09,5.88,Communication Services
TKO,BUY,179.61000061035156,161.65,224.51,5.88,Communication Services
TTWO,BUY,229.0399932861328,206.14,286.3,5.88,Communication Services
XYZ,BUY,63.81999969482422,57.44,79.77,3.68,Technology
ADI,BUY,224.46499633789062,202.02,280.58,3.68,Technology
ON,BUY,46.779998779296875,42.1,58.47,3.68,Technology
MCHP,BUY,53.375,48.04,66.72,3.68,Technology
SMCI,BUY,38.41999816894531,34.58,48.02,3.68,Technology
PTC,BUY,173.72500610351562,156.35,217.16,3.68,Technology
SNPS,BUY,389.30999755859375,350.38,486.64,3.68,Technology
WDAY,BUY,221.59500122070312,199.44,276.99,3.68,Technology
